timestamp,ip,route,method,status,latency,response_size,label,attack_type
2025-01-01T00:00:01,10.0.1.179,/login,POST,201,54,426,0,normal
2025-01-01T00:00:07,10.0.2.91,/secure,GET,401,85,201,0,normal
2025-01-01T00:00:12,10.0.5.159,/secure,GET,400,77,804,0,normal
2025-01-01T00:00:12,10.0.2.207,/secure,GET,401,88,1642,0,normal
2025-01-01T00:00:24,10.0.5.166,/public,GET,200,75,1188,0,normal
2025-01-01T00:00:29,10.0.1.179,/public,GET,201,88,945,0,normal
2025-01-01T00:00:42,10.0.1.179,/secure,GET,401,91,1858,0,normal
2025-01-01T00:00:46,10.0.5.27,/public,GET,200,105,738,0,normal
2025-01-01T00:00:53,10.0.1.179,/public,GET,200,102,1287,0,normal
2025-01-01T00:01:14,10.0.2.253,/login,POST,200,57,843,0,normal
2025-01-01T00:01:14,10.0.5.27,/public,GET,200,64,1589,0,normal
2025-01-01T00:01:25,10.0.5.190,/secure,GET,200,55,1945,0,normal
2025-01-01T00:01:26,10.0.2.155,/secure,GET,200,70,1405,0,normal
2025-01-01T00:01:29,10.0.2.40,/orders,POST,200,84,367,0,normal
2025-01-01T00:01:30,10.0.5.159,/login,POST,400,52,1815,0,normal
2025-01-01T00:01:41,10.0.3.138,/login,POST,200,80,185,0,normal
2025-01-01T00:01:50,10.0.2.91,/secure,GET,403,30,324,0,normal
2025-01-01T00:02:07,10.0.5.140,/secure,GET,200,64,400,0,normal
2025-01-01T00:02:22,10.0.1.130,/secure,GET,200,98,401,0,normal
2025-01-01T00:02:45,10.0.5.166,/public,GET,200,78,1732,0,normal
2025-01-01T00:03:27,10.0.4.109,/public,GET,200,84,341,0,normal
2025-01-01T00:03:31,10.0.5.166,/secure,GET,200,73,415,0,normal
2025-01-01T00:04:19,10.0.1.36,/public,GET,200,86,871,0,normal
2025-01-01T00:04:33,10.0.4.109,/secure,GET,200,44,191,0,normal
2025-01-01T00:05:01,10.0.0.56,/orders,POST,400,78,1444,0,normal
2025-01-01T00:05:20,10.0.0.56,/public,GET,403,97,1808,0,normal
2025-01-01T00:05:26,10.0.0.98,/login,POST,400,49,537,0,normal
2025-01-01T00:05:42,10.0.3.21,/secure,GET,200,120,1295,0,normal
2025-01-01T00:05:50,10.0.2.155,/secure,GET,200,55,696,0,normal
2025-01-01T00:05:52,10.0.1.36,/public,GET,200,95,1927,0,normal
2025-01-01T00:05:52,10.0.4.7,/secure,GET,200,88,431,0,normal
2025-01-01T00:06:22,10.0.4.23,/public,GET,200,70,446,0,normal
2025-01-01T00:06:31,10.0.0.190,/public,GET,200,128,1498,0,normal
2025-01-01T00:06:42,10.0.0.219,/secure,GET,200,88,1348,0,normal
2025-01-01T00:06:43,10.0.0.92,/public,GET,200,101,1279,0,normal
2025-01-01T00:07:02,10.0.1.179,/public,GET,200,16,799,0,normal
2025-01-01T00:07:05,10.0.1.172,/orders,POST,200,36,1125,0,normal
2025-01-01T00:07:07,10.0.2.42,/login,POST,200,100,472,0,normal
2025-01-01T00:07:08,10.0.5.27,/public,GET,401,64,2000,0,normal
2025-01-01T00:07:16,10.0.3.57,/public,GET,201,59,1653,0,normal
2025-01-01T00:07:35,10.0.5.166,/public,GET,200,44,1479,0,normal
2025-01-01T00:07:43,10.0.0.219,/secure,GET,200,63,1119,0,normal
2025-01-01T00:07:45,10.0.1.179,/orders,POST,200,64,191,0,normal
2025-01-01T00:07:53,10.0.1.172,/public,GET,200,41,1116,0,normal
2025-01-01T00:07:58,10.0.4.51,/secure,GET,429,34,1036,0,normal
2025-01-01T00:08:17,10.0.4.76,/login,POST,200,72,1757,0,normal
2025-01-01T00:08:53,10.0.4.23,/public,GET,200,60,1768,0,normal
2025-01-01T00:09:09,10.0.3.57,/secure,GET,200,74,1595,0,normal
2025-01-01T00:09:19,10.0.4.109,/orders,POST,401,83,378,0,normal
2025-01-01T00:09:21,10.0.0.190,/secure,GET,200,35,1715,0,normal
2025-01-01T00:09:24,10.0.1.130,/orders,POST,200,85,1744,0,normal
2025-01-01T00:09:32,10.0.5.27,/login,POST,200,60,1400,0,normal
2025-01-01T00:09:33,10.0.0.190,/public,GET,200,31,1460,0,normal
2025-01-01T00:09:39,10.0.5.27,/public,GET,200,61,1448,0,normal
